,filenames,speaker_id,uri,path,y_true,audio2_path,audio2_label,y_comparison
0,747-8.wav,747-F-31,747-F-31_747-8,Train-Test-Data/dataset/747-F-31/747-8.wav,307,Train-Test-Data/dataset/471-M-25/471-44.wav,175.0,False
1,747-10.wav,747-F-31,747-F-31_747-10,Train-Test-Data/dataset/747-F-31/747-10.wav,307,Train-Test-Data/dataset/803-F-28/803-17.wav,103.0,False
2,747-15.wav,747-F-31,747-F-31_747-15,Train-Test-Data/dataset/747-F-31/747-15.wav,307,Train-Test-Data/dataset/620-F-21/620-3.wav,230.0,False
3,747-3.wav,747-F-31,747-F-31_747-3,Train-Test-Data/dataset/747-F-31/747-3.wav,307,Train-Test-Data/dataset/721-F-27/721-11.wav,231.0,False
4,747-7.wav,747-F-31,747-F-31_747-7,Train-Test-Data/dataset/747-F-31/747-7.wav,307,Train-Test-Data/dataset/474-M-28/474-31.wav,97.0,False
5,747-5.wav,747-F-31,747-F-31_747-5,Train-Test-Data/dataset/747-F-31/747-5.wav,307,Train-Test-Data/dataset/445-M-32/445-21.wav,40.0,False
6,747-17.wav,747-F-31,747-F-31_747-17,Train-Test-Data/dataset/747-F-31/747-17.wav,307,Train-Test-Data/dataset/444-F-27/444-10.wav,13.0,False
7,747-12.wav,747-F-31,747-F-31_747-12,Train-Test-Data/dataset/747-F-31/747-12.wav,307,Train-Test-Data/dataset/783-F-34/783-14.wav,1.0,False
8,747-13.wav,747-F-31,747-F-31_747-13,Train-Test-Data/dataset/747-F-31/747-13.wav,307,Train-Test-Data/dataset/641-F-39/641-12.wav,17.0,False
9,747-6.wav,747-F-31,747-F-31_747-6,Train-Test-Data/dataset/747-F-31/747-6.wav,307,Train-Test-Data/dataset/747-F-31/747-7.wav,307.0,True
10,747.wav,747-F-31,747-F-31_747,Train-Test-Data/dataset/747-F-31/747.wav,307,Train-Test-Data/dataset/747-F-31/747.wav,307.0,True
11,747-4.wav,747-F-31,747-F-31_747-4,Train-Test-Data/dataset/747-F-31/747-4.wav,307,Train-Test-Data/dataset/747-F-31/747-15.wav,307.0,True
12,747-14.wav,747-F-31,747-F-31_747-14,Train-Test-Data/dataset/747-F-31/747-14.wav,307,Train-Test-Data/dataset/747-F-31/747-9.wav,307.0,True
