,filenames,speaker_id,uri,path,y_true,audio2_path,audio2_label,audio2_uri,y_comparison,duration,audio2_duration
0,747-8.wav,747-F-31,747-F-31_747-8,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-8.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/506-M-31/506-24.wav,92.0,506-M-31_506-24,False,0.9923958333333334,1.2605416666666667
1,747-10.wav,747-F-31,747-F-31_747-10,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-10.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/583-F-28/583-7.wav,150.0,583-F-28_583-7,False,1.4780416666666667,0.7607083333333333
2,747-15.wav,747-F-31,747-F-31_747-15,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-15.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/619-M-28/619-25.wav,190.0,619-M-28_619-25,False,0.8234791666666667,2.404916666666667
3,747-3.wav,747-F-31,747-F-31_747-3,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-3.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/449-F-30/449-8.wav,28.0,449-F-30_449-8,False,6.249979166666667,0.7106458333333333
4,747-7.wav,747-F-31,747-F-31_747-7,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-7.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/595-M-29/595-14.wav,163.0,595-M-29_595-14,False,1.0768541666666667,0.7364583333333333
5,747-5.wav,747-F-31,747-F-31_747-5,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-5.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/663-F-31/663-7.wav,239.0,663-F-31_663-7,False,2.132604166666667,1.7727916666666668
6,747-17.wav,747-F-31,747-F-31_747-17,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-17.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/57-F-39/57-18.wav,135.0,57-F-39_57-18,False,18.43325,1.6613151927437642
7,747-12.wav,747-F-31,747-F-31_747-12,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-12.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/620-F-21/620-17.wav,192.0,620-F-21_620-17,False,1.1402083333333333,1.5641666666666667
8,747-13.wav,747-F-31,747-F-31_747-13,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-13.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/566-F-32/566-11.wav,131.0,566-F-32_566-11,False,3.0616458333333334,2.1616041666666668
9,747-6.wav,747-F-31,747-F-31_747-6,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-6.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-10.wav,307.0,747-F-31_747-10,True,1.4358125,1.4780416666666667
10,747.wav,747-F-31,747-F-31_747,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-7.wav,307.0,747-F-31_747-7,True,1.1402083333333333,1.0768541666666667
11,747-4.wav,747-F-31,747-F-31_747-4,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-4.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-10.wav,307.0,747-F-31_747-10,True,1.0135,1.4780416666666667
12,747-14.wav,747-F-31,747-F-31_747-14,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-14.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-11.wav,307.0,747-F-31_747-11,True,12.668916666666666,19.763479166666666
13,747-9.wav,747-F-31,747-F-31_747-9,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-9.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-13.wav,307.0,747-F-31_747-13,True,7.432416666666667,3.0616458333333334
14,747-16.wav,747-F-31,747-F-31_747-16,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-16.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-4.wav,307.0,747-F-31_747-4,True,12.415520833333334,1.0135
15,747-2.wav,747-F-31,747-F-31_747-2,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-2.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-11.wav,307.0,747-F-31_747-11,True,3.5895208333333333,19.763479166666666
16,747-11.wav,747-F-31,747-F-31_747-11,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-11.wav,307,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/747-F-31/747-17.wav,307.0,747-F-31_747-17,True,19.763479166666666,18.43325
17,708-15.wav,708-M-32,708-M-32_708-15,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-15.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/435-M-31/435-6.wav,13.0,435-M-31_435-6,False,0.8157291666666666,2.6698958333333334
18,708-20.wav,708-M-32,708-M-32_708-20,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-20.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/478-M-28/478-11.wav,60.0,478-M-28_478-11,False,3.8658333333333332,1.1937083333333334
19,708-23.wav,708-M-32,708-M-32_708-23,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-23.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/799-F-30/799-11.wav,364.0,799-F-30_799-11,False,5.355416666666667,1.5199583333333333
20,708-7.wav,708-M-32,708-M-32_708-7,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-7.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/481-M-31/481-21.wav,64.0,481-M-31_481-21,False,1.0817291666666666,4.3140833333333335
21,708.wav,708-M-32,708-M-32_708,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/491-M-25/491-35.wav,75.0,491-M-25_491-35,False,2.2698541666666667,2.7173333333333334
22,708-12.wav,708-M-32,708-M-32_708-12,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-12.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/272-M-26/speaker_272-6.wav,0.0,272-M-26_speaker_272-6,False,2.5890416666666667,2.56325
23,708-9.wav,708-M-32,708-M-32_708-9,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-9.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/728-M-30/728-4.wav,286.0,728-M-30_728-4,False,2.3053125,1.3733786848072562
24,708-10.wav,708-M-32,708-M-32_708-10,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-10.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/652-F-31/652-38.wav,227.0,652-F-31_652-38,False,1.064,7.374270833333333
25,708-22.wav,708-M-32,708-M-32_708-22,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-22.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/710-M-35/710-15.wav,267.0,710-M-35_710-15,False,1.7378541666666667,1.2413333333333334
26,708-8.wav,708-M-32,708-M-32_708-8,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-8.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/598-F-27/598-22.wav,166.0,598-F-27_598-22,False,1.0285208333333333,2.0740208333333334
27,708-18.wav,708-M-32,708-M-32_708-18,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-18.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/46-M-37/46-20.wav,40.0,46-M-37_46-20,False,8.68925,2.056395833333333
28,708-11.wav,708-M-32,708-M-32_708-11,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-11.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/440-F-29/440-7.wav,19.0,440-F-29_440-7,False,1.2058541666666667,4.7608958333333335
29,708-2.wav,708-M-32,708-M-32_708-2,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-2.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/73-F-32/73-15.wav,288.0,73-F-32_73-15,False,1.8087916666666666,1.165
30,708-21.wav,708-M-32,708-M-32_708-21,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-21.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-18.wav,264.0,708-M-32_708-18,True,1.9151875,8.68925
31,708-4.wav,708-M-32,708-M-32_708-4,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-4.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-9.wav,264.0,708-M-32_708-9,True,0.798,2.3053125
32,708-5.wav,708-M-32,708-M-32_708-5,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-5.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-16.wav,264.0,708-M-32_708-16,True,1.8974583333333332,3.4757083333333334
33,708-17.wav,708-M-32,708-M-32_708-17,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-17.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-23.wav,264.0,708-M-32_708-23,True,2.730916666666667,5.355416666666667
34,708-13.wav,708-M-32,708-M-32_708-13,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-13.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-5.wav,264.0,708-M-32_708-5,True,1.9861041666666666,1.8974583333333332
35,708-14.wav,708-M-32,708-M-32_708-14,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-14.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708.wav,264.0,708-M-32_708,True,1.5605208333333334,2.2698541666666667
36,708-6.wav,708-M-32,708-M-32_708-6,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-6.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-13.wav,264.0,708-M-32_708-13,True,1.5250416666666666,1.9861041666666666
37,708-19.wav,708-M-32,708-M-32_708-19,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-19.wav,264,/media/ben/datadrive/Zalo/voice-verification/Train-Test-Data/dataset/708-M-32/708-22.wav,264.0,708-M-32_708-22,True,1.3477291666666666,1.7378541666666667
